Impact ID,策划注释,Impact逻辑ID,参数1,参数2,参数3,参数4,Buff图标,impact互斥id,顶替优先级,死亡后是否消失,下线是否计时,脚本ID,特效,名称,描述,技能效果,技能受击效果,技能缩放,技能效果x,技能效果y,技能音效,受击缩放,受击x,受击y,受击音效,技能播放速度,受击播放速度,全体or单人（0单人，1全体）
INT,STRING,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT,STRING,STRING,STRING,STRING,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,INT
1,雷击,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2,雷击,1,0,175,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3,雷击,1,0,275,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
4,雷击,1,0,350,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
101,冰霜新星,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
102,冰霜新星,1,0,150,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
103,冰霜新星,1,0,200,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
104,冰霜新星,1,0,250,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
201,冰霜新星,5,3,20,2,-1,-1,0,20,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
202,冰霜新星,5,3,20,2,-1,-1,0,20,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
