技能ID,策划注释,技能名称,技能等级,技能描述,目标选择方式,技能施放概率,法力消耗,技能内置冷却,技能冷却ID,第一次施放,技能类型,附加Impact 1,附加Impact 1概率,选择目标类型,附加Impact 2,附加Impact 2概率,选择目标类型,附加Impact 3,附加Impact 3概率,选择目标类型,附加Impact 4,附加Impact 4概率,选择目标类型,脚本ID,英雄等级,银币消耗,学习类型,道具消耗ID,道具消耗数量,木材消耗,学习成功率,增加成功率道具,道具增加的成功率,道具最大使用数量,技能出手动作（64以下为出手动作）,技能自身特效,技能受击特效,技能图标,技能施放位置（0为原地，1为到某一列前，2为到目标前，3为到敌方整体区域）,技能受击动作（63以上为受击动作）,技能施放特效,特效的类型（0为只有受击，1为点对点，2为发射物体击中目标消失，3为向固定方向发射物体，4为一个区域的大特效）,施放特效缩放比例,施放特效x偏移量,施放特效y偏移量,施放特效声音,本体特效缩放比例,本体特效x偏移量,本体特效y偏移量,本体特效速度,本体特效声音,受击特效缩放比例,受击特效x偏移量,受击特效y偏移量,受击特效声音,施放特效播放速度,本体特效施放速度,受击特效播放速度,起始x偏移量,起始y偏移量,飞行击中x偏移量,飞行击中y偏移量,
INT,STRING,STRING,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING_INT,STRING_INT,INT,INT,INT,INT,INT,INT,STRING,STRING,STRING,INT,INT,STRING,INT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,
0,近战普通攻击,近战普通攻击,1,无,0,10000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,-1,-1,-1,100,-1,0,1,0,-1,zjz_wulimingzhong,-1,0,64,zjz_wuli,0,1.5,0,0,zs_wuli.mp3,3,0,0,1.25,zs_wuli.mp3,3,0,0,zs_wulishouji.mp3,0.04,0.04,0.04,0,0,0,0,
1,远程普通攻击,远程普通攻击,1,无,0,10000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,-1,-1,-1,100,-1,0,1,1,zjz_yuanchengfeixing,zjz_yuanchengmingzhong,-1,0,64,-1,2,3,0,0,zs_yuancheng.mp3,1.5,0,0,1.25,zs_yuancheng.mp3,1.5,0,0,zs_yuanchengshouji.mp3,0.04,0.04,0.04,0,0,0,0,
100001,雷击,雷击,1,从天空召唤一道闪电对目标造成100点伤害,0,10000,75,6,1,1,0,1,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100002,雷击,雷击,2,从天空召唤一道闪电对目标造成175点伤害,0,10000,95,6,1,1,0,2,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100003,雷击,雷击,3,从天空召唤一道闪电对目标造成275点伤害,0,10000,115,6,1,1,0,3,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100004,雷击,雷击,4,从天空召唤一道闪电对目标造成350点伤害,0,10000,135,6,1,1,0,4,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100005,雷击,雷击,5,从天空召唤一道闪电对目标造成560点伤害,0,10000,200,6,1,1,0,60001,10000,3,-1,-1,-1,-1,-1,-1,-1, ,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100006,雷击,雷击,6,从天空召唤一道闪电对目标造成900点伤害,0,10000,300,6,1,1,0,60002,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100007,雷击,雷击,7,从天空召唤一道闪电对目标造成1500点伤害,0,10000,450,6,1,1,0,60003,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,-1,zjz_leijicu,zj_leiji.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0.06,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
